排名,日期,代码,名称,单位净值,累计净值,增长值,增长率%6,
744,2011/8/23,290007,泰信增强收益A,1.0047,1.0547,-0.0001,-0.01%,历史净值/走势图
745,2011/8/23,420102,天弘永利债券B,0.9859,1.1225,-0.0002,-0.02%,历史净值/走势图
746,2011/8/23,310318,申万盛利强化,0.9762,1.7672,-0.0002,-0.02%,历史净值/走势图
747,2011/8/23,420002,天弘永利债券A,0.9829,1.1078,-0.0003,-0.03%,历史净值/走势图
748,2011/8/23,160602,鹏华普天债券A,1.142,1.421,-0.001,-0.09%,历史净值/走势图
749,2011/8/23,160608,鹏华普天债券B,1.097,1.376,-0.001,-0.09%,历史净值/走势图
750,2011/8/23,320008,诺安增利债券A,1.031,1.046,-0.001,-0.10%,历史净值/走势图
751,2011/8/23,320009,诺安增利债券B,1.021,1.036,-0.001,-0.10%,历史净值/走势图
752,2011/8/23,290009,泰信周期回报债,1.003,1.003,-0.001,-0.10%,历史净值/走势图
753,2011/8/23,164808,工银四季收益债,0.987,1.001,-0.001,-0.10%,历史净值/走势图
754,2011/8/23,630007,华商稳健双利A,0.983,0.983,-0.001,-0.10%,历史净值/走势图
755,2011/8/23,200013,长城积极增利债A,0.978,0.978,-0.001,-0.10%,历史净值/走势图
756,2011/8/23,150027,天弘添利分级债B,0.943,0.943,-0.001,-0.11%,历史净值/走势图
757,2011/8/23,240004,华宝动力组合,0.9018,3.4118,-0.0013,-0.14%,历史净值/走势图
758,2011/8/23,270009,广发增强债券,1.031,1.211,-0.002,-0.19%,历史净值/走势图
759,2011/8/23,160612,鹏华丰收债券,1.031,1.251,-0.002,-0.19%,历史净值/走势图
760,2011/8/23,150041,富国天盈分级债B,0.972,0.972,-0.002,-0.21%,历史净值/走势图
761,2011/8/23,630002,华商盛世成长,2.1219,2.3869,-0.0137,-0.64%,历史净值/走势图
762,2011/8/23,630008,华商策略精选,0.89,0.89,-0.006,-0.67%,历史净值/走势图
763,2011/8/23,270021,广发聚瑞股票,1.193,1.193,-0.009,-0.75%,历史净值/走势图
764,2011/8/23,270008,广发核心精选,1.639,1.849,-0.015,-0.91%,历史净值/走势图
